,Neighborhood,Price,Number of Beds,Number of Baths
2298,"North Allston, Allston, Boston","$2,500",3 Bed,2 Bath
2299,"St. Elizabeth's, Brighton, Boston","$1,895",1 Bed,1 Bath
2300,"Lower Roxbury, Roxbury, Boston","$5,600",4 Bed,1 Bath
2301,"Mission Hill, Boston","$4,200",4 Bed,1.5 Bath
2302,"Beacon Hill, Boston","$2,400",1 Bed,1 Bath
2303,"North End, Boston","$7,500",3 Bed,3 Bath
2304,"Mission Hill, Boston","$2,445",2 Bed,1 Bath
2305,"St. Elizabeth's, Brighton, Boston","$1,725",1 Bed,1 Bath
2306,"Washington Square, Brookline","$3,800",4 Bed,2 Bath
2307,"Mission Hill, Boston","$2,900",1 Bed,1 Bath
2308,"North End, Boston","$3,225",2 Bed,2 Bath
2309,"Mission Hill, Boston","$7,000",6 Bed,2.5 Bath
2310,"Hyde Square, Jamaica Plain, Boston","$3,200",3 Bed,1 Bath
2311,"Allston, Boston","$4,950",4 Bed,2 Bath
2312,"Mission Hill, Boston","$3,600",3 Bed,1 Bath
2313,"North Allston, Allston, Boston","$2,800",3 Bed,1 Bath
2314,"Oak Square, Brighton, Boston","$3,600",4 Bed,1 Bath
2315,"Central Maverick Square - Paris Street, East Boston, Boston","$3,800",4 Bed,2 Bath
2316,"St. Elizabeth's, Brighton, Boston","$4,500",5 Bed,2 Bath
2317,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2318,"Oak Square, Brighton, Boston","$3,300",3 Bed,4 Bath
2319,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,400",4 Bed,2 Bath
2320,"Beacon Hill, Boston","$2,400",1 Bed,1 Bath
2321,"North End, Boston","$7,500",3 Bed,3 Bath
2322,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
2323,"Mission Hill, Boston","$2,445",2 Bed,1 Bath
2324,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2325,"Egleston Square, Jamaica Plain, Boston","$4,250",4 Bed,2 Bath
2326,"Egleston Square, Jamaica Plain, Boston","$2,595",2 Bed,1 Bath
2327,"Jeffries Point - Airport, East Boston, Boston","$2,495",2 Bed,1 Bath
2328,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
2329,"Mission Hill, Boston","$3,245",3 Bed,1 Bath
2330,"Beacon Hill, Boston","$3,500",2 Bed,1.5 Bath
2331,"Mission Hill, Boston","$2,300",2 Bed,1 Bath
2332,"Mission Hill, Boston","$2,345",2 Bed,1 Bath
2333,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2334,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2335,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2336,"Back Bay East, Back Bay, Boston","$13,500",4 Bed,4 Bath
2337,"Oak Square, Brighton, Boston","$4,250",5 Bed,2 Bath
2338,"Jeffries Point - Airport, East Boston, Boston","$2,700",3 Bed,1 Bath
2339,"Oak Square, Brighton, Boston","$2,100",2 Bed,1 Bath
2340,"Commonwealth, Brighton, Boston","$2,395",2 Bed,1 Bath
2341,"Oak Square, Brighton, Boston","$4,400",5 Bed,3.5 Bath
2342,"Oak Square, Brighton, Boston","$3,400",3 Bed,2 Bath
2343,"Brookline Village, Brookline","$3,100",3 Bed,1.5 Bath
2344,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
2345,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2346,"Mission Hill, Boston","$5,400",4 Bed,2 Bath
2347,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,550",3 Bed,1 Bath
2348,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2349,"Allston, Boston","$4,950",4 Bed,2 Bath
2350,"Central Maverick Square - Paris Street, East Boston, Boston","$4,800",5 Bed,3 Bath
2351,"Inman Square, Cambridge","$2,250",2 Bed,1 Bath
2352,"Washington Square, Brookline","$3,900",4 Bed,2 Bath
2353,"Central Square, East Boston, Boston","$3,493",2 Bed,2 Bath
2354,"Allston, Boston","$4,000",4 Bed,1.5 Bath
2355,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
2356,"Coolidge Corner, Brookline","$3,750",3 Bed,2 Bath
2357,"Washington Park, Roxbury, Boston","$3,775",5 Bed,1 Bath
2358,"Oak Square, Brighton, Boston","$8,300",8 Bed,3.5 Bath
2359,"Commonwealth, Brighton, Boston","$4,500",5 Bed,3 Bath
2360,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
2361,"St. Elizabeth's, Brighton, Boston","$1,600",Studio,1 Bath
2362,"St. Elizabeth's, Brighton, Boston","$2,250",2 Bed,1 Bath
2363,"Bay Village, Boston","$2,300",Studio,1 Bath
2364,"Downtown Boston, Boston","$3,020",Studio,1 Bath
2365,"Bay Village, Boston","$2,400",1 Bed,1 Bath
2366,"Oak Square, Brighton, Boston","$3,400",4 Bed,1.5 Bath
2367,"Malden Center, Malden","$1,995",2 Bed,1 Bath
2368,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
2369,"Oak Grove - Pine Banks, Melrose","$2,800",2 Bed,2 Bath
2370,"Central Maverick Square - Paris Street, East Boston, Boston","$2,500",3 Bed,1 Bath
2371,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
2372,"Shawmut, South End, Boston","$3,400",2 Bed,1 Bath
2373,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
2374,"North Allston, Allston, Boston","$4,400",6 Bed,2 Bath
2375,"Back Bay West, Back Bay, Boston","$2,499",1 Bed,1 Bath
2376,"Allston, Boston","$7,400",6 Bed,2 Bath
2377,"Allston, Boston","$8,400",7 Bed,2 Bath
2378,"Lower Roxbury, Roxbury, Boston","$4,200",4 Bed,2 Bath
2379,"Mission Hill, Boston","$4,800",5 Bed,2 Bath
2380,"St. Elizabeth's, Brighton, Boston","$1,695",1 Bed,1 Bath
2381,"St. Elizabeth's, Brighton, Boston","$1,600",Studio,1 Bath
2382,"St. Elizabeth's, Brighton, Boston","$2,250",2 Bed,1 Bath
2383,"Bay Village, Boston","$2,300",Studio,1 Bath
2384,"Downtown Boston, Boston","$3,020",Studio,1 Bath
2385,"St. Elizabeth's, Brighton, Boston","$2,325",2 Bed,1 Bath
2386,"Beacon Hill, Boston","$2,275",1 Bed,1 Bath
2387,"Mission Hill, Boston","$3,699",4 Bed,1.5 Bath
2388,"Thompson Square - Bunker Hill, Charlestown, Boston","$3,000",2 Bed,2 Bath
2389,"Back Bay West, Back Bay, Boston","$3,000",2 Bed,1 Bath
2390,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500",1 Bed,1 Bath
2391,"Coolidge Corner, Brookline","$2,295",1 Bed,1 Bath
2392,"Eagle Hill, East Boston, Boston","$2,650",3 Bed,1 Bath
2393,"Coolidge Corner, Brookline","$5,000",6 Bed,2 Bath
2394,"Lower Roxbury, Roxbury, Boston","$6,500",5 Bed,3.5 Bath
2395,"Ward Two, Somerville","$3,050",3 Bed,1 Bath
2396,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2397,"Beacon Hill, Boston","$3,200",2 Bed,1 Bath
2398,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2399,"Spring Hill, Somerville","$2,400",2 Bed,1 Bath
2400,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,1 Bath
2401,"St. Elizabeth's, Brighton, Boston","$1,600",Studio,1 Bath
2402,"St. Elizabeth's, Brighton, Boston","$2,250",2 Bed,1 Bath
2403,"Bay Village, Boston","$2,300",Studio,1 Bath
2404,"Downtown Boston, Boston","$3,020",Studio,1 Bath
2405,"St. Elizabeth's, Brighton, Boston","$2,325",2 Bed,1 Bath
2406,"Coolidge Corner, Brookline","$2,600",2 Bed,1 Bath
2407,"Shawmut, South End, Boston","$3,275",2 Bed,2 Bath
2408,"Mission Hill, Boston","$3,500",3 Bed,1 Bath
2409,"Mission Hill, Boston","$3,500",3 Bed,1 Bath
2410,"St. Elizabeth's, Brighton, Boston","$1,550",Studio,1 Bath
2411,"East Cambridge, Cambridge","$3,029",1 Bed,1 Bath
2412,"North Allston, Allston, Boston","$4,795",2 Bed,2 Bath
2413,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,522",2 Bed,2 Bath
2414,"Newton Corner, Newton","$5,000",5 Bed,3 Bath
2415,"Coolidge Corner, Brookline","$3,900",3 Bed,2 Bath
2416,"Coolidge Corner, Brookline","$4,100",3 Bed,1 Bath
2417,"Aggasiz - Harvard University, Cambridge","$5,000",4 Bed,2 Bath
2418,"North Allston, Allston, Boston","$3,750",3 Bed,2 Bath
2419,"Financial District, Downtown Boston, Boston","$3,300",2 Bed,2 Bath
2420,"Commonwealth, Brighton, Boston","$2,000",2 Bed,1 Bath
2421,"St. Elizabeth's, Brighton, Boston","$3,200",4 Bed,1 Bath
2422,"St. Elizabeth's, Brighton, Boston","$2,325",2 Bed,1 Bath
2423,"Highland Park, Roxbury, Boston","$3,800",5 Bed,1.5 Bath
2424,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",1 Bed,1 Bath
2425,"Commonwealth, Brighton, Boston","$6,200",5 Bed,3 Bath
2426,"Downtown Boston, Boston","$4,022",2 Bed,2 Bath
2427,"North Cambridge, Cambridge","$3,500",3 Bed,2 Bath
2428,"Oak Square, Brighton, Boston","$3,200",4 Bed,1 Bath
2429,"Mission Hill, Boston","$5,250",3 Bed,2 Bath
2430,"Jeffries Point - Airport, East Boston, Boston","$2,475",2 Bed,1 Bath
2431,"Allston, Boston","$4,625",5 Bed,2 Bath
2432,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2433,"Oak Square, Brighton, Boston","$4,500",5 Bed,2 Bath
2434,"City Point, South Boston, Boston","$4,099",2 Bed,2 Bath
2435,"Jeffries Point - Airport, East Boston, Boston","$3,300",4 Bed,1 Bath
2436,"East Somerville, Somerville","$4,200",4 Bed,2 Bath
2437,"Allston, Boston","$2,100",2 Bed,1 Bath
2438,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
2439,"Allston, Boston","$6,000",6 Bed,3 Bath
2440,"Commonwealth, Brighton, Boston","$5,200",6 Bed,3 Bath
2441,"Downtown Boston, Boston","$2,874",Studio,1 Bath
2442,"Downtown Boston, Boston","$3,774",Studio,1 Bath
2443,"Downtown Boston, Boston","$3,149",1 Bed,1 Bath
2444,"Waverley Square, Belmont","$2,250",2 Bed,1 Bath
2445,"Nonantum, Newton","$2,500",2 Bed,2.5 Bath
2446,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,450",2 Bed,1 Bath
2447,"North End, Boston","$2,800",2 Bed,1 Bath
2448,"Beacon Hill, Boston","$3,300",1 Bed,1 Bath
2449,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,200",4 Bed,2 Bath
2450,"North Allston, Allston, Boston","$2,700",3 Bed,1 Bath
2451,"Highland Park, Roxbury, Boston","$2,475",2 Bed,1 Bath
2452,"Auburndale, Newton","$1,795",1 Bed,1 Bath
2453,"Mission Hill, Boston","$1,000",1 Bed,1 Bath
2454,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
2455,"North Allston, Allston, Boston","$2,600",3 Bed,1 Bath
2456,"Neighborhood Nine, Cambridge","$3,195",1 Bed,1 Bath
2457,"Oak Square, Brighton, Boston","$3,700",4 Bed,2 Bath
2458,"Highland Park, Roxbury, Boston","$3,150",4 Bed,2 Bath
2459,"Thompson Square - Bunker Hill, Charlestown, Boston","$2,500",1 Bed,1 Bath
2460,"Oak Square, Brighton, Boston","$4,500",5 Bed,2 Bath
2461,"Downtown Boston, Boston","$2,874",Studio,1 Bath
2462,"Downtown Boston, Boston","$3,774",Studio,1 Bath
2463,"Downtown Boston, Boston","$3,149",1 Bed,1 Bath
2464,"Oak Square, Brighton, Boston","$2,350",2 Bed,1 Bath
2465,"Coolidge Corner, Brookline","$2,600",1 Bed,1 Bath
2466,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400",1 Bed,1 Bath
2467,"Idylwide, Lexington","$2,700",3 Bed,2.5 Bath
2468,"Harrison Lenox, South End, Boston","$3,200",2 Bed,2 Bath
2469,"Lower Roxbury, Roxbury, Boston","$6,000",5 Bed,1.5 Bath
2470,"Lower Roxbury, Roxbury, Boston","$5,500",4 Bed,1 Bath
2471,"Hyde Square, Jamaica Plain, Boston","$3,300",3 Bed,2 Bath
2472,"North End, Boston","$3,600",2 Bed,2 Bath
2473,"St. Elizabeth's, Brighton, Boston","$1,895",1 Bed,1 Bath
2474,"Mission Hill, Boston","$3,195",3 Bed,1 Bath
2475,"Columbus, South End, Boston","$3,600",1 Bed,1 Bath
2476,"Commonwealth, Brighton, Boston","$2,150",2 Bed,1 Bath
2477,"Quincy Center, Quincy","$2,700",2 Bed,2 Bath
2478,"Commonwealth, Brighton, Boston","$3,500",4 Bed,1.5 Bath
2479,"Oak Square, Brighton, Boston","$3,200",4 Bed,2 Bath
2480,"Downtown Boston, Boston","$3,774",Studio,1 Bath
2481,"Downtown Boston, Boston","$3,149",1 Bed,1 Bath
2482,"North Allston, Allston, Boston","$4,350",5 Bed,2 Bath
2483,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2484,"Downtown Boston, Boston","$4,845",2 Bed,2 Bath
2485,"North End, Boston","$2,300",1 Bed,1 Bath
2486,"Commonwealth, Brighton, Boston","$4,550",5 Bed,3 Bath
2487,"Coolidge Corner, Brookline","$4,650",4 Bed,1 Bath
2488,"Oak Square, Brighton, Boston","$3,100",3 Bed,1 Bath
2489,"Commonwealth, Brighton, Boston","$3,600",4 Bed,2 Bath
2490,"Allston, Boston","$2,600",3 Bed,1 Bath
2491,"St. Elizabeth's, Brighton, Boston","$1,950",1 Bed,1 Bath
2492,"Mission Hill, Boston","$3,500",3 Bed,1 Bath
2493,"Commonwealth, Brighton, Boston","$4,500",4 Bed,2 Bath
2494,"Coolidge Corner, Brookline","$3,400",2 Bed,2 Bath
2495,"Central Maverick Square - Paris Street, East Boston, Boston","$3,200",4 Bed,1 Bath
2496,"North Allston, Allston, Boston","$3,500",4 Bed,2.5 Bath
2497,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
2498,"Nonantum, Newton","$2,200",2 Bed,1 Bath
2499,"West Somerville, Somerville","$4,000",5 Bed,2 Bath
2500,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
2501,"Lower Roxbury, Roxbury, Boston","$3,650",3 Bed,1 Bath
2502,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
2503,"Coolidge Corner, Brookline","$3,000",2 Bed,1 Bath
2504,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2505,"Oak Square, Brighton, Boston","$3,200",4 Bed,2 Bath
2506,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
2507,"Coolidge Corner, Brookline","$3,170",2 Bed,1 Bath
2508,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,000",2 Bed,1 Bath
2509,"Columbus, South End, Boston","$3,400",2 Bed,1 Bath
2510,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,200",2 Bed,1 Bath
2511,"Mission Hill, Boston","$7,599",6 Bed,2 Bath
2512,"Mid-Cambridge, Cambridge","$2,700",3 Bed,1 Bath
2513,"Allston, Boston","$3,200",3 Bed,2 Bath
2514,"Inman Square, Cambridge","$4,399",4 Bed,1 Bath
2515,"Newton Corner, Watertown","$3,000",3 Bed,2 Bath
2516,"Coolidge Corner, Brookline","$2,999",2 Bed,1 Bath
2517,"Allston, Boston","$4,800",6 Bed,2 Bath
2518,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
2519,"Oak Hill, Newton","$7,500",5 Bed,4.5 Bath
2520,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
2521,"Mission Hill, Boston","$3,600",4 Bed,1 Bath
2522,"Chinatown - Leather District, Boston","$4,070",1 Bed,1 Bath
2523,"Downtown Boston, Boston","$2,625",1 Bed,1 Bath
2524,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2525,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2526,"Shawmut, South End, Boston","$4,100",3 Bed,1 Bath
2527,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
2528,"Coolidge Corner, Brookline","$2,425",1 Bed,1 Bath
2529,"Beacon Hill, Boston","$6,300",2 Bed,2 Bath
2530,"St. Elizabeth's, Brighton, Boston","$4,700",6 Bed,2.5 Bath
2531,"Commonwealth, Brighton, Boston","$2,500",3 Bed,1 Bath
2532,"Oak Square, Brighton, Boston","$2,600",4 Bed,1.5 Bath
2533,"Back Bay West, Back Bay, Boston","$2,650",1 Bed,1 Bath
2534,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",3 Bed,1 Bath
2535,"St. Elizabeth's, Brighton, Boston","$3,000",2 Bed,1 Bath
2536,"St. Elizabeth's, Brighton, Boston","$2,525",2 Bed,2 Bath
2537,"Allston, Boston","$1,900",1 Bed,1 Bath
2538,"Powder House, Somerville","$3,900",3 Bed,2 Bath
2539,"D Street - West Broadway, South Boston, Boston","$3,900",2 Bed,2 Bath
2540,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,200",1 Bed,1 Bath
2541,"Mission Hill, Boston","$3,600",4 Bed,1 Bath
2542,"Chinatown - Leather District, Boston","$4,070",1 Bed,1 Bath
2543,"Downtown Boston, Boston","$2,625",1 Bed,1 Bath
2544,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2545,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2546,"St. Elizabeth's, Brighton, Boston","$2,500",2 Bed,1 Bath
2547,"St. Elizabeth's, Brighton, Boston","$3,100",2 Bed,1 Bath
2548,"Wellington - Harrington, Cambridge","$3,295",2 Bed,1.5 Bath
2549,"Riverside, Cambridge","$3,000",2 Bed,1.5 Bath
2550,"Chinatown - Leather District, Boston","$3,725",2 Bed,1 Bath
2551,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2552,"Oak Square, Brighton, Boston","$2,925",4 Bed,2 Bath
2553,"Oak Square, Brighton, Boston","$3,700",4 Bed,2 Bath
2554,"Oak Square, Brighton, Boston","$2,100",2 Bed,1 Bath
2555,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
2556,"Coolidge Corner, Brookline","$3,600",3 Bed,3 Bath
2557,"Commonwealth, Brighton, Boston","$3,800",5 Bed,2 Bath
2558,"Prudential - St. Botolph, Back Bay, Boston","$3,800",1 Bed,1 Bath
2559,"Commonwealth, Brighton, Boston","$2,850",3 Bed,1 Bath
2560,"Mission Hill, Boston","$3,600",4 Bed,1 Bath
2561,"Chinatown - Leather District, Boston","$4,070",1 Bed,1 Bath
2562,"Downtown Boston, Boston","$2,625",1 Bed,1 Bath
2563,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2564,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
2565,"Powder House, Somerville","$3,750",4 Bed,1 Bath
2566,"St. Elizabeth's, Brighton, Boston","$2,500",2 Bed,1 Bath
2567,"Downtown Boston, Boston","$5,760",3 Bed,2 Bath
2568,"Back Bay East, Back Bay, Boston","$2,995",2 Bed,1 Bath
2569,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
2570,"Washington Square, Brookline","$3,400",2 Bed,1 Bath
2571,"Prudential - St. Botolph, Back Bay, Boston","$4,448",1 Bed,1 Bath
2572,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,250",1 Bed,1 Bath
2573,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
2574,"St. Elizabeth's, Brighton, Boston","$1,875",1 Bed,1 Bath
2575,"Spring Hill, Somerville","$2,200",3 Bed,1 Bath
2576,"Hyde Square, Jamaica Plain, Boston","$3,250",3 Bed,2 Bath
2577,"Eagle Hill, East Boston, Boston","$2,550",3 Bed,1 Bath
2578,"Mission Hill, Boston","$5,450",5 Bed,2 Bath
2579,"Oak Square, Brighton, Boston","$2,695",3 Bed,2 Bath
2580,"Oak Square, Brighton, Boston","$2,500",3 Bed,2 Bath
2581,"St. Elizabeth's, Brighton, Boston","$2,500",2 Bed,1 Bath
2582,"North End, Boston","$4,200",2 Bed,2 Bath
2583,"Oak Square, Brighton, Boston","$3,100",4 Bed,2 Bath
2584,"Mission Hill, Boston","$2,395",2 Bed,1 Bath
2585,"Newton Corner, Newton","$6,000",2 Bed,2 Bath
2586,"Highland Park, Roxbury, Boston","$3,750",5 Bed,2 Bath
2587,"Harbor View - Orient Heights, East Boston, Boston","$3,400",4 Bed,1 Bath
2588,"Shawmut, South End, Boston","$3,600",3 Bed,1 Bath
2589,"Oak Square, Brighton, Boston","$2,750",3 Bed,1 Bath
2590,"Washington Square, Brookline","$2,400",2 Bed,1 Bath
2591,"Commonwealth, Brighton, Boston","$1,725",1 Bed,1 Bath
2592,"Allston, Boston","$2,300",2 Bed,1 Bath
2593,"North End, Boston","$3,399",2 Bed,2 Bath
2594,"North End, Boston","$3,400",2 Bed,2 Bath
2595,"Egleston Square, Jamaica Plain, Boston","$3,250",4 Bed,1 Bath
2596,"Oak Square, Brighton, Boston","$4,500",4 Bed,2 Bath
2597,"Back Bay West, Back Bay, Boston","$2,600",1 Bed,1 Bath
2598,"Harvard Square, Cambridge","$4,050",2 Bed,1 Bath
2599,"Mission Hill, Boston","$5,400",4 Bed,1 Bath
2600,"Coolidge Corner, Brookline","$3,825",3 Bed,1 Bath
2601,"North End, Boston","$4,200",2 Bed,2 Bath
2602,"Oak Square, Brighton, Boston","$3,100",4 Bed,2 Bath
2603,"Mission Hill, Boston","$2,395",2 Bed,1 Bath
2604,"Mission Hill, Boston","$8,100",6 Bed,2.5 Bath
2605,"Mission Hill, Boston","$8,100",6 Bed,2 Bath
2606,"Beacon Hill, Boston","$2,750",1 Bed,1 Bath
2607,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
2608,"Allston, Boston","$4,000",5 Bed,2 Bath
2609,"Oak Square, Brighton, Boston","$5,500",5 Bed,3.5 Bath
2610,"Newton Corner, Newton","$2,700",3 Bed,1 Bath
2611,"Allston, Boston","$5,500",5 Bed,3 Bath
2612,"St. Elizabeth's, Brighton, Boston","$5,500",6 Bed,2 Bath
2613,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,600",3 Bed,1 Bath
2614,"Oak Square, Brighton, Boston","$4,650",6 Bed,2 Bath
2615,"Coolidge Corner, Brookline","$4,100",3 Bed,1 Bath
2616,"Beacon Hill, Boston","$3,200",2 Bed,1 Bath
2617,"Commonwealth, Brighton, Boston","$2,295",2 Bed,1 Bath
2618,"Back Bay East, Back Bay, Boston","$5,000",2 Bed,2 Bath
2619,"Mission Hill, Boston","$3,999",4 Bed,1.5 Bath
2620,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,900",3 Bed,1.5 Bath
2621,"Allston, Boston","$4,950",4 Bed,2 Bath
2622,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
2623,"Mission Hill, Boston","$2,395",2 Bed,1 Bath
2624,"East Cambridge, Cambridge","$3,854",2 Bed,2 Bath
2625,"Harbor View - Orient Heights, East Boston, Boston","$2,800",4 Bed,1 Bath
2626,"Coolidge Corner, Brookline","$2,700",2 Bed,1 Bath
2627,"Mid-Cambridge, Cambridge","$3,250",2 Bed,1 Bath
2628,"St. Elizabeth's, Brighton, Boston","$3,000",3 Bed,1 Bath
2629,"North End, Boston","$3,700",2 Bed,1 Bath
2630,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$1,500",1 Bed,1 Bath
2631,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$1,850",1 Bed,1 Bath
2632,"Harvard Square, Cambridge","$3,545",2 Bed,1 Bath
2633,"Chinatown - Leather District, Boston","$3,100",1 Bed,1 Bath
2634,"D Street - West Broadway, South Boston, Boston","$2,650",2 Bed,1 Bath
2635,"Lower Roxbury, Roxbury, Boston","$2,700",1 Bed,1 Bath
2636,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950",3 Bed,1 Bath
2637,"Bay Village, Boston","$3,000",2 Bed,1 Bath
2638,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,200",1 Bed,1 Bath
2639,"Oak Square, Brighton, Boston","$3,900",4 Bed,1.5 Bath
2640,"City Point, South Boston, Boston","$3,800",2 Bed,2 Bath
2641,"East Cambridge, Cambridge","$3,854",2 Bed,2 Bath
2642,"Hyde Square, Jamaica Plain, Boston","$3,195",3 Bed,2 Bath
2643,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
2644,"Oak Square, Brighton, Boston","$3,300",4 Bed,2 Bath
2645,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,500",1 Bed,1 Bath
2646,"St. Elizabeth's, Brighton, Boston","$2,700",3 Bed,1 Bath
2647,"Highland Park, Roxbury, Boston","$4,400",5 Bed,2 Bath
2648,"Central Maverick Square - Paris Street, East Boston, Boston","$5,000",5 Bed,3 Bath
2649,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
2650,"North Allston, Allston, Boston","$5,400",5 Bed,3 Bath
2651,"Jamaica Hills - Pond, Jamaica Plain, Boston","$2,250",2 Bed,1 Bath
2652,"Commonwealth, Brighton, Boston","$1,950",1 Bed,1 Bath
2653,"Columbus Park - Andrew Square, South Boston, Boston","$3,599",4 Bed,1 Bath
2654,"Commonwealth, Brighton, Boston","$3,600",3 Bed,1 Bath
2655,"Oak Square, Brighton, Boston","$3,995",5 Bed,4 Bath
2656,"Commonwealth, Brighton, Boston","$2,195",2 Bed,1 Bath
2657,"Ward Two, Somerville","$4,000",3 Bed,2 Bath
2658,"Oak Grove - Pine Banks, Melrose","$2,750",2 Bed,2 Bath
2659,"Allston, Boston","$1,895",1 Bed,1 Bath
2660,"Commonwealth, Brighton, Boston","$2,195",2 Bed,1 Bath
2661,"East Cambridge, Cambridge","$3,854",2 Bed,2 Bath
2662,"Hyde Square, Jamaica Plain, Boston","$3,195",3 Bed,2 Bath
2663,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
2664,"Allston, Boston","$8,400",7 Bed,2 Bath
2665,"Commonwealth, Brighton, Boston","$2,975",3 Bed,1 Bath
2666,"Columbus, South End, Boston","$3,400",2 Bed,1 Bath
2667,"Allston, Boston","$3,450",2 Bed,2 Bath
2668,"Eagle Hill, East Boston, Boston","$2,250",2 Bed,1 Bath
2669,"Ward Two, Somerville","$2,950",2 Bed,2 Bath
2670,"Shawmut, South End, Boston","$5,643",3 Bed,2 Bath
2671,"Allston, Boston","$4,800",6 Bed,2 Bath
2672,"Mission Hill, Boston","$4,100",4 Bed,1 Bath
2673,"Downtown Boston, Boston","$3,100",1 Bed,1 Bath
2674,"Commonwealth, Brighton, Boston","$4,600",5 Bed,3 Bath
2675,"Allston, Boston","$5,500",6 Bed,2 Bath
2676,"Allston, Boston","$3,800",4 Bed,2 Bath
